City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,275.81,74,99,6.17,TF,1697600523
1,grytviken,-54.2811,-36.5092,275.19,87,72,5.14,GS,1697600523
2,bilibino,68.0546,166.4372,258.13,99,99,1.42,RU,1697600523
3,iqaluit,63.7506,-68.5145,272.0,58,100,1.03,CA,1697600523
4,noosa heads,-26.3833,153.15,295.99,65,97,8.67,AU,1697600523
5,waitangi,-43.9535,-176.5597,285.27,74,27,2.68,NZ,1697600416
6,at taj,24.2049,23.2857,291.09,43,4,3.16,LY,1697600524
7,margaret river,-33.95,115.0667,291.44,60,26,5.53,AU,1697600237
8,sitka,57.0531,-135.33,287.09,58,100,7.72,US,1697600524
9,titusville,28.6122,-80.8075,290.37,81,0,1.54,US,1697600423
10,katsuura,35.1333,140.3,295.09,68,75,2.6,JP,1697600524
11,znamenskoye,57.1281,73.8282,280.37,73,81,3.46,RU,1697600525
12,lompoc,34.6391,-120.4579,289.0,94,100,2.57,US,1697600525
13,tiksi,71.6872,128.8694,259.21,98,100,1.49,RU,1697600525
14,kuta,-8.7233,115.1723,303.12,70,20,5.14,ID,1697600525
15,stanley,54.868,-1.6985,283.16,86,40,4.63,GB,1697600525
16,blackmans bay,-43.0167,147.3167,294.55,40,15,3.79,AU,1697600526
17,treinta y tres,-33.2333,-54.3833,278.51,96,1,3.07,UY,1697600526
18,ancud,-41.8697,-73.8203,281.1,89,22,1.4,CL,1697600526
19,yellowknife,62.456,-114.3525,276.16,100,100,4.12,CA,1697600526
20,suntar,62.1444,117.6319,271.56,93,100,1.79,RU,1697599948
21,rio grande,-32.035,-52.0986,284.79,70,26,5.87,BR,1697600320
22,saint-pierre,-21.3393,55.4781,300.13,65,0,1.54,RE,1697600527
23,edinburgh of the seven seas,-37.0676,-12.3116,285.78,73,100,7.55,SH,1697600527
24,machachi,-0.5,-78.5667,283.01,88,67,2.37,EC,1697600527
25,porto velho,-8.7619,-63.9039,299.18,94,0,0.0,BR,1697600527
26,agat village,13.3886,144.6585,304.21,84,40,7.2,GU,1697600527
27,jinghong,21.991,100.7341,301.94,59,95,0.81,CN,1697600527
28,ust-nera,64.5667,143.2,257.71,85,99,1.34,RU,1697600528
29,thompson,55.7435,-97.8558,278.24,100,20,5.66,CA,1697600528
30,ribeira grande,38.5167,-28.7,295.25,94,100,7.15,PT,1697600528
31,pacific grove,36.6177,-121.9166,292.15,89,40,2.06,US,1697600528
32,fukuecho,32.6881,128.8419,295.35,56,20,3.09,JP,1697600528
